,artifact,denoiser,realization,scale,mse,wasserstein,num_w_scales,hurst
23,sawtooth,wt_zero,1,1,0.16770847677695033,"[0.756236156919883, 4.831647383156172, 3.470740253091458, 1.7506757260936772, 0.962811732979227, 0.5268442532651407, 0.22332019444830492, 0.10668521821878821, 0.057449550410260494, 0.03438633078578211]",9,-4.395692823216579
24,square,wqn,2,1,0.09021224993774375,"[0.0296907511097404, 0.022795775929254913, 0.32036783946865716, 0.1453307346898342, 0.09185580866722154, 0.04296328141367694, 0.011698574230736478, 0.002310387882325006, 0.0008031796166644049, 0.00042202170812878626]",9,-1.860680397898601
25,square,wt_ihard,2,1,0.06420151688092282,"[0.04601091786690781, 0.15180597218849815, 2.6528474576302816, 1.0883450635891097, 0.6878973620329992, 0.3195428214185494, 0.13301366173695753, 0.05797732573825816, 0.021565850306761974, 0.00786343872769208]",9,-1.319154302168061
26,square,wt_isoft,2,1,0.0595340130406667,"[0.04601091786690781, 0.15180597218849815, 2.6528474576302816, 0.9378972193374483, 0.5615975992167663, 0.19070875679622282, 0.06659752843760883, 0.025448924975813483, 0.00777082181257337, 0.0024616724640017518]",9,-1.373829460904858
27,square,wt_uni,2,1,0.6751163797547396,"[0.04601091786690781, 0.15180597218849815, 6.891040443498043, 3.3610498687707344, 1.3326797408621252, 0.4641272248693043, 0.13465946053582556, 0.04493489924898428, 0.01237354275411842, 0.002890576644255621]",9,-2.1053835205444407
28,square,wt_sure,2,1,0.060197515761697434,"[0.04601091786690781, 0.15180597218849815, 2.6528474576302816, 1.0883450635891097, 0.5952219352192846, 0.18246919224191, 0.05634792112645426, 0.02157700160973032, 0.007797117385125213, 0.00266396177771658]",9,-1.330341445482447
29,square,wt_zero,2,1,0.13246476873832067,"[0.04601091786690781, 5.998199439475867, 2.6528474576302816, 1.0883450635891097, 0.6911916442923528, 0.3307781712694131, 0.15057312836418252, 0.08159135680923205, 0.040012887890539216, 0.02479683888101555]",9,-4.407483048844758
30,sawtooth,wqn,2,1,0.11652128858397688,"[0.34060828507252716, 0.4669440531547568, 1.2748103907327963, 0.20197974405210892, 0.06877066368197564, 0.05062897634969827, 0.012062338367327383, 0.006931219691807031, 0.0018182236276790475, 0.0005867885700264455]",9,-1.9308990098970915
31,sawtooth,wt_ihard,2,1,0.06438193705448682,"[0.47046877889141414, 1.2452952569533182, 2.6528474576302816, 1.0883450635891097, 0.6838466778454806, 0.2500272697634909, 0.0964945898378433, 0.04138883322931132, 0.01591362786941155, 0.006499767027887829]",9,-1.4133198739681188
32,sawtooth,wt_isoft,2,1,0.06140962969839585,"[0.47046877889141414, 0.28985151324094377, 2.211886470329139, 1.0279562236549122, 0.5090290687669871, 0.12636283900525647, 0.04039531009715493, 0.01728638440657998, 0.004791619621639516, 0.0016537165703516695]",9,-1.5551728386510466
33,sawtooth,wt_uni,2,1,0.5742457745647827,"[0.47046877889141414, 0.5015455699236473, 5.442061742394303, 2.982542019437548, 0.9398201214135151, 0.3237078062258196, 0.08276668928646987, 0.026620681082065098, 0.006696688293380618, 0.0015648192266028618]",9,-2.226333376418043
34,sawtooth,wt_sure,2,1,0.06186138005524502,"[0.47046877889141414, 0.5015455699236473, 2.6528474576302816, 1.0883450635891097, 0.38918842749138344, 0.12618209301248215, 0.04761035819882971, 0.017784169077334093, 0.003745980659786003, 0.0012719307834816208]",9,-1.63602226816804
35,sawtooth,wt_zero,2,1,0.13199465269718413,"[0.47046877889141414, 5.998199439475867, 2.6528474576302816, 1.0883450635891097, 0.6911916442923528, 0.3307781712694131, 0.15057312836418252, 0.08159135680923205, 0.040012887890539216, 0.02479683888101555]",9,-4.404623133338764
36,square,wqn,3,1,0.054753676262002074,"[0.46223804355344233, 0.5037099861799617, 0.32419478443242056, 0.20476149020847662, 0.06979267520613519, 0.024369064767362794, 0.015104777486162844, 0.003361808324510111, 0.001403638899054697, 0.0006574921744334554]",9,-1.7116525162948495
37,square,wt_ihard,3,1,0.030694993525378182,"[0.6393960754486163, 0.9085655395715929, 1.4726133520015345, 1.339761276175365, 0.5797081666310517, 0.25242068330819495, 0.11272684754947401, 0.043771255712102594, 0.016872305675249537, 0.0052830351491992235]",9,-1.0775846710656307
38,square,wt_isoft,3,1,0.027979447973787302,"[0.6393960754486163, 0.33918360927318914, 1.0277578141156667, 1.339761276175365, 0.4423141779844857, 0.16324667374537605, 0.0588443747713531, 0.019696526983038094, 0.006077142464877387, 0.0020086163360392437]",9,-1.3525341228912613
39,square,wt_uni,3,1,0.5028111672346925,"[0.6393960754486163, 0.6737282352432115, 5.265724786519276, 3.485897496520804, 1.356399096597193, 0.43202334500591855, 0.12945136361057413, 0.0404179493908217, 0.01085924668277901, 0.002996929932713978]",9,-2.0124389665375144
40,square,wt_sure,3,1,0.028616273478228118,"[0.6393960754486163, 0.6737282352432115, 1.5117206477551193, 1.339761276175365, 0.5253014878824083, 0.1689417183020342, 0.0680496235684954, 0.016532323021495404, 0.005409438479694004, 0.001787694415940117]",9,-0.9950866550474003
41,square,wt_zero,3,1,0.045672640274622006,"[0.6393960754486163, 2.9280614061086574, 1.5117206477551193, 1.339761276175365, 0.5830240740316135, 0.2648252233279858, 0.13055796765947392, 0.06592360496307842, 0.03458149001482047, 0.020122431165004083]",9,-4.416522416181188
42,sawtooth,wqn,3,1,0.052020575743177366,"[0.08099359131098272, 0.21551159943225145, 1.0730438592013158, 0.11109880723872352, 0.10075168325168635, 0.038640400693810695, 0.01361467885736556, 0.003394344568271833, 0.0019935369276695325, 0.000976047376008829]",9,-1.815614110483852
43,sawtooth,wt_ihard,3,1,0.03031853284416303,"[0.34106740343578773, 0.9778376873418101, 1.5117206477551193, 1.3057054982883036, 0.5737649466060495, 0.2105298283811678, 0.08940194261558476, 0.03005510727436938, 0.01152754500915015, 0.003764965234908481]",9,-1.278862661033962
44,sawtooth,wt_isoft,3,1,0.02489774843678357,"[0.34106740343578773, 0.2607023183274986, 1.2732017572194927, 0.748924492723369, 0.374544497883065, 0.1212388833663178, 0.04374678024515924, 0.01252292696362696, 0.004178614665767895, 0.001504037903099496]",9,-1.6836175774877744
45,sawtooth,wt_uni,3,1,0.43960425015604115,"[0.34106740343578773, 0.4099047785626597, 4.776065911693215, 3.2948076966781326, 1.0219144875104742, 0.29331416777325037, 0.09010616278765472, 0.02521786790787599, 0.00624929952862637, 0.0019668340596336407]",9,-2.2361138338553124
46,sawtooth,wt_sure,3,1,0.025190582852462312,"[0.34106740343578773, 0.4099047785626597, 1.5117206477551193, 0.9339286391632505, 0.4808888375519472, 0.1269184371299032, 0.049346393634681435, 0.011738314103120567, 0.004324356050607757, 0.0013377890400484895]",9,-1.4652188778687862
47,sawtooth,wt_zero,3,1,0.04537600939552016,"[0.34106740343578773, 2.9280614061086574, 1.5117206477551193, 1.339761276175365, 0.5830240740316135, 0.2648252233279858, 0.13055796765947392, 0.06592360496307842, 0.03458149001482047, 0.020122431165004083]",9,-4.4022776468843
48,square,wqn,4,1,0.11741260728665638,"[0.1572649318128474, 0.3360261751490258, 0.2655865581921679, 0.07407779206121808, 0.054367917228930446, 0.03277757951503581, 0.022229820136821392, 0.004821802150380792, 0.0005286856320381206, 0.00022976119495155808]",9,-1.9147163728497165
49,square,wt_ihard,4,1,0.021562666079324097,"[0.6128664645891173, 2.358418184600861, 2.6485453324396526, 1.3252092583370154, 0.5581398717101467, 0.24183001370930343, 0.08866493180358123, 0.035452786932971915, 0.012823029935538173, 0.0030109334491504134]",9,-1.5309233043529984
50,square,wt_isoft,4,1,0.024086359676493443,"[0.6128664645891173, 0.4164555130105269, 2.5708703770248618, 0.9761320179505998, 0.38669257000922186, 0.16581753194630805, 0.05740720536376004, 0.020100621243414128, 0.005328315029536204, 0.0020526178797078175]",9,-1.7336867941675365
51,square,wt_uni,4,1,0.9516120737462335,"[0.6128664645891173, 0.6657262347927867, 7.224969776135273, 5.166911682920566, 1.817446427060993, 0.6583733171997175, 0.21154953710313512, 0.06287717293551932, 0.011435840672523942, 0.005113228855796932]",9,-2.1442188441256644
52,square,wt_sure,4,1,0.024713021831606348,"[0.6128664645891173, 0.6657262347927867, 2.6485453324396526, 1.3252092583370154, 0.43959111270476936, 0.16595216578535543, 0.08111255858758608, 0.024373156095956833, 0.004573558439558244, 0.0021980752799278425]",9,-1.571458242899488
53,square,wt_zero,4,1,0.05909334468666462,"[0.6128664645891173, 5.740943706252089, 2.6485453324396526, 1.3252092583370154, 0.5661779190650356, 0.2603333173699819, 0.11422987393401507, 0.0562969134567941, 0.026235288212227738, 0.01626897965994712]",9,-4.408927571326884
54,sawtooth,wqn,4,1,0.07561364568052215,"[0.028261120317423227, 0.20168355085817707, 0.47110700905164, 0.077228049682257, 0.19190332152250103, 0.0769559483799481, 0.03887953104243305, 0.014717867087975563, 0.0027156484832345463, 0.0006990527753575994]",9,-1.9175014756771511
55,sawtooth,wt_ihard,4,1,0.021554300116073122,"[0.21626697338138712, 2.209210370625259, 2.5801132807005915, 1.2422178351799853, 0.5371644288286979, 0.25761882656648294, 0.0959908629710131, 0.023662099160116433, 0.00976522159613194, 0.0014232902587675204]",9,-1.3876139768494493
56,sawtooth,wt_isoft,4,1,0.03069126636562785,"[0.21626697338138712, 0.24423748337093285, 2.213948162168403, 0.9265269231788033, 0.37888881301750443, 0.21292333677610126, 0.06027236455019071, 0.01609040054969137, 0.0044026175941253055, 0.0018837362196635647]",9,-1.7071417697537565
57,sawtooth,wt_uni,4,1,0.7796788136639603,"[0.21626697338138712, 0.32009972766918704, 7.625846766385693, 3.5040679576167486, 1.2999606840977918, 0.4240314100335068, 0.15141854731599183, 0.042367348953905204, 0.007369199629108173, 0.003358427241292943]",9,-2.374423958882327
58,sawtooth,wt_sure,4,1,0.030938597558003714,"[0.21626697338138712, 0.32009972766918704, 2.6485453324396526, 0.9269244471908115, 0.4549198481415797, 0.14722419491598113, 0.055657370219266394, 0.01819501836433198, 0.0037054750783134483, 0.0018488126525739376]",9,-2.0020611590703576
59,sawtooth,wt_zero,4,1,0.0589135360682231,"[0.21626697338138712, 5.740943706252089, 2.6485453324396526, 1.3252092583370154, 0.5661779190650356, 0.2603333173699819, 0.11422987393401507, 0.0562969134567941, 0.026235288212227738, 0.01626897965994712]",9,-4.411002308830044
60,square,wqn,5,1,0.23524733544725285,"[0.11215190563356378, 0.41865326874269837, 1.4095940020634674, 0.4614824648359718, 0.1421325587423043, 0.049698805257516215, 0.006946423874154945, 0.0023648711683320516, 0.002555678056686444, 0.0005300637821104234]",9,-2.0561199143303677
61,square,wt_ihard,5,1,0.08736541186141777,"[0.5226404122285564, 2.6624241473087578, 4.009626284991595, 1.2318824835912754, 0.6449980594544682, 0.2708196882376658, 0.11118156159096196, 0.04227357681743127, 0.013292542441367631, 0.003664518128236204]",9,-1.375537818601295
62,square,wt_isoft,5,1,0.08564397195732917,"[0.5226404122285564, 0.4520423109599181, 3.278226791176973, 0.8782272536819329, 0.5005184503422178, 0.18214738525325602, 0.06579423191420387, 0.021951003785111597, 0.005975037255381017, 0.0021802520245454223]",9,-1.6826338616251362
63,square,wt_uni,5,1,0.9159945009633145,"[0.5226404122285564, 0.6776225578734982, 6.90686889437171, 4.95405077445856, 1.4788865192797807, 0.6165100853242336, 0.20359732773291125, 0.0591311016174654, 0.012098363445055767, 0.004998946286818885]",9,-2.118297016522315
64,square,wt_sure,5,1,0.08450297567966172,"[0.5226404122285564, 0.6776225578734982, 3.41198250391402, 1.2725745753451105, 0.411147255368558, 0.16848122516115827, 0.06761050685657052, 0.02380774265844698, 0.005402563654625927, 0.0023038569473118053]",9,-1.6499799088129297
65,square,wt_zero,5,1,0.0983431642296102,"[0.5226404122285564, 4.621452098830904, 4.187124815696672, 1.2725745753451105, 0.6508156813578956, 0.2875005208476207, 0.13641685113949742, 0.06911549072567338, 0.02997693314931415, 0.019322107057231322]",9,-4.383697791477778
