wt_soft,wt_hard,wt_uni_soft,wt_uni_hard,wqn
0.047981102518905215,0.047384169683763445,0.2926369688824453,0.08967318880633603,0.13046081636898066
0.043500584181183584,0.04315160451271216,0.24585631587433346,0.07805290226859082,0.3274430431130399
0.02949126252015119,0.029877272966374404,0.20842445874237378,0.047068462636473914,0.5082356779976966
0.04794775693273684,0.04676454352268702,0.24988908352857142,0.07247660344753036,0.8849521000167764
0.07863284303343812,0.08132573869238265,0.5412922485524388,0.2571749189926164,0.1073435395018747
0.13501195348215148,0.13826853646652465,0.7662087781968159,0.4185983388196367,0.34345239542600203
0.044667700313610524,0.04307739315803649,0.23427858257703824,0.07704232739221197,0.1435789916363111
0.0714487512356869,0.07445561975122368,0.5283678021831836,0.19093639713489952,0.11682263634470087
0.08389154308965378,0.09609632701278935,0.5793401016716604,0.2525981323625364,0.10696053459828832
0.060662134789656354,0.05977217294559888,0.37322793798749526,0.13407760142245495,0.15034600606927329
0.14875146658874813,0.1521583133164341,0.824531761125608,0.5776447454794362,0.3999678656433518
0.019234976987696224,0.019276669046281444,0.08619441780928995,0.02679504132663743,0.3002780805510402
0.09730349313380882,0.10041374038259517,0.6265467313281814,0.25959316022101686,0.1397680747387539
0.07150741616773179,0.07267978319905426,0.6157779067129221,0.2048597462489056,0.11250653872135497
0.10062727497036997,0.09804169743322136,0.7357919680196692,0.34835810665402317,0.30565442281992866
0.04916869772192157,0.04954489164576479,0.4613725327009799,0.12518269786387462,0.23772949695041956
0.031165507747199773,0.031039690147369726,0.08797136965047656,0.036248762552404515,0.34458505709191956
0.03877921147042509,0.03997279843353422,0.22402326625233587,0.07875734845342469,0.5247689202496799
0.028880133258549823,0.029523448169214157,0.16728707393350892,0.05073868095694037,0.08497510452051604
0.17549450084605311,0.17299449783162543,0.9028652569515391,0.788426216236841,0.20689172754276902
0.09167966129411839,0.09158002891492656,0.7353816175328959,0.321830460110447,0.22144603849496042
0.06199759354875536,0.06598294197373583,0.49419234585835986,0.21141274070968893,0.08433789336694357
0.05913774562108735,0.06064599794940952,0.44604257896506017,0.13166923189080731,0.07701356059359525
0.03886978278466718,0.03995163568089252,0.20126472733763578,0.07793396896407749,0.04108923053528497
0.05852253855968342,0.06307010946889369,0.4525914538191627,0.1802898812698627,0.4599842009298858
0.11294080575989095,0.12166120237425225,0.6968032132299231,0.4477896083838822,0.21187364536162331
0.021261750337432123,0.021312724452377522,0.1062879778749712,0.02485676055494285,0.3186359843111657
0.07207965193061121,0.07335624735444136,0.5374073772798725,0.24403712027660446,0.1096518647051711
