wt_soft,wt_hard,wt_uni_soft,wt_uni_hard,wqn,scale
0.10628887051266825,0.10959629015597723,0.8182903040042837,0.5406580465044402,0.22426695657272744,1
0.14951040344482802,0.14926017979911183,1.3964320041023166,0.5428943307931374,0.4209232039756454,2
0.22268209734121006,0.22237798827372782,1.6623816488448138,0.35704415131541883,0.5569436470093844,3
0.3263425674405676,0.3258535319159588,1.8230397183098819,0.3869306547273319,0.7096472961794726,4
0.46005982635841747,0.4601075220374007,2.004588689246078,0.5381999047063789,0.842873508447882,5
0.6249572433785494,0.623353320967018,2.2196387983077277,0.7354624711912037,0.8867622432404357,6
0.8204695355627118,0.8199484977444709,2.4669079905259212,0.9239674261890685,0.9276090329951224,7
1.0467194685555121,1.0463375348334412,2.7407861991187894,1.1445463206500337,0.9939996622157574,8
1.3035054994587423,1.3014834657672885,3.041356788982322,1.421913274803599,1.0285628400300533,9
1.5910353510212685,1.586941094863753,3.3745775623147276,1.7337270249402434,1.0767647590226006,10
1.9090417614587691,1.9092143243359707,3.7406430921352927,2.0815257701084597,1.1273427431451648,11
2.2580852852567324,2.2578269611400033,4.137317492837895,2.349371330481593,1.1533461863125383,12
2.6377108875464823,2.637920410462448,4.548564939448063,2.680672112330782,1.1964961143538977,13
3.0479181865124527,3.0487414861630016,4.986960318412816,3.0965484044677463,1.2168980557048485,14
3.4889388612901873,3.4902837390729364,5.452441650320997,3.5080393142991086,1.2727810549265024,15
3.960551073967319,3.9620355561693694,5.947771062491658,3.9814695938044045,1.2872886441014686,16
4.46286524554388,4.46450898872317,6.471828331350313,4.465727030296256,1.3317201873383606,17
4.995331838793063,4.997739077237663,7.0264138319480525,5.010925399857323,1.346220450126002,18
5.558910748322358,5.561390053512788,7.612492494641084,5.57602892067261,1.3866751966711848,19
0.06517131316314624,0.06501502005572964,0.5468104728249371,0.2968681206985531,0.09885255582762507,1
0.11437040024178736,0.11379304102479008,0.8382139645335468,0.20704939087889562,0.15584700245544159,2
0.19518037792077644,0.1919882213498924,0.9887015734831646,0.25659749664220427,0.2363480922827097,3
0.30770228697741786,0.30358160558349245,1.142637577742901,0.3537712001108385,0.37412293713001443,4
0.4519576132992888,0.4467224491194324,1.3182150497642993,0.48793783187787504,0.5498206355087445,5
0.6280106273027058,0.6218410204317333,1.5196201918025136,0.6675724104777903,0.7290939689264866,6
0.8358790482159191,0.8291290880167127,1.7535060347320686,0.887309557334782,0.896414077137327,7
1.0755090304481043,1.0724082093618563,2.015282933811431,1.096625002337094,1.0048601001602935,8
1.3473039399474689,1.343900272262368,2.3074665278471906,1.3739293262092576,1.148533778283277,9
1.6506373162222772,1.646852297662347,2.6287730127168847,1.6562287341274056,1.2340897713207686,10
1.9857653913076436,1.9815927665431765,2.979200273643429,1.9879957533096297,1.3421798681313393,11
2.3526738110977874,2.342057844659787,3.361428594568721,2.3569765566718552,1.4499913388645476,12
2.751448281623481,2.740202974556233,3.775718652211013,2.7578729796693624,1.601808004886916,13
3.182154737482922,3.169964988173255,4.222071976371812,3.1909264120407306,1.6810666494948396,14
3.644543104431064,3.631073474625357,4.700495359875817,3.6560675714990722,1.7984668424643988,15
4.138861785187373,4.124358415376959,5.210978963121747,4.153093383900571,1.9214910979751745,16
4.664899395736594,4.649610063465781,5.753283931844279,4.678985658989992,2.0898730521514093,17
5.22274635431024,5.20667341188227,6.325876175032135,5.214296425061906,2.2343573706754642,18
5.812400653308307,5.795638678489811,6.929132116756424,5.804303292846425,2.3867326813129814,19
0.08535498436140533,0.08610765691407112,0.5840599636455043,0.27707469102447047,0.13178634725891755,1
0.16362244995619568,0.16297740210788805,0.9345040726260265,0.260757105637745,0.20839880331089394,2
0.29208936956003145,0.29091474708691895,1.131066476525391,0.31081965864693906,0.30188341911885164,3
0.4714175835040487,0.4702181469132098,1.3419879994635724,0.5045051832924486,0.3693788288101482,4
0.7013556144735632,0.7006317561158976,1.5993340951748634,0.7426068391285223,0.4562021016837061,5
0.9819838748334492,0.9818849426866256,1.9095654233181245,1.044488259595394,0.5597808715567798,6
1.3134789368827524,1.3098023377788213,2.2739709982735326,1.4000754314239616,0.684495838613388,7
1.695846276619791,1.6916575733026762,2.692440304762184,1.808889161599173,0.8234352943022856,8
2.1288147098862895,2.12396982356106,3.1633646999433185,2.2485403743932366,0.9453798689091436,9
2.612650213260818,2.6070462730306603,3.680728036374489,2.7246626222062766,1.1055838342015385,10
3.14759153272837,3.141098650320835,4.236325388197556,3.1457230059919365,1.254270044678525,11
3.7331101080019127,3.725815307602357,4.841570223335672,3.737297124264193,1.3555863157768486,12
4.36727426335688,4.361491247967715,5.497384325362611,4.37345249096736,1.4592255666774674,13
5.051555006858091,5.047820117308607,6.20375984056644,5.060708036956637,1.5822205185489095,14
5.789229626539418,5.784736200880299,6.960891092661992,5.799090728706681,1.6927444365877333,15
6.577221217268766,6.5720842342608785,7.768717685547046,6.58712267103669,1.8387398971870277,16
7.4159836443726785,7.4104527492461045,8.627328383077629,7.4272476796026226,1.9761447625228583,17
8.30551587775093,8.299802782495178,9.536784565692603,8.318960856491639,2.1161798855586293,18
9.24583774257063,9.239776317158984,10.497151407989225,9.260196700796811,2.2058974224004526,19
0.06958798811634181,0.0681785462775829,0.4437935209310392,0.18367337612272253,0.13019021368766062,1
0.1626546573944194,0.16197998415970233,0.6775546316214063,0.19763639183277656,0.20610775372704473,2
0.31359281665769995,0.306211368148558,0.8737636857602523,0.34192852379889943,0.3065458673163477,3
0.5225135678526839,0.5136241764418406,1.1247237922287685,0.5554264500350048,0.38147320674189783,4
0.790015003895739,0.7885676977650508,1.4313445546402774,0.8298009148113491,0.435628357377647,5
1.1157885668853962,1.1142774019646202,1.792701037967267,1.1560898796791217,0.5005544197073878,6
