denoiser,realization,scale,mse
wt_usoft,1,18,0.7767780492927426
wqn,1,19,0.302503143200192
wt_ihard,1,19,0.08473029862602052
wt_isoft,1,19,0.06913713370726926
wt_usoft,1,19,0.7787006848353046
wqn,1,20,0.30131760052996825
wt_ihard,1,20,0.08561882765969256
wt_isoft,1,20,0.0700760550844233
wt_usoft,1,20,0.780619031730079
wqn,2,0,8.861092874530667e-23
wt_ihard,2,0,8.861092874530667e-23
wt_isoft,2,0,8.861092874530667e-23
wt_usoft,2,0,8.861092874530667e-23
wqn,2,1,0.0527252067599388
wt_ihard,2,1,0.02926719991709171
wt_isoft,2,1,0.03067156114104145
wt_usoft,2,1,0.6577217550446919
wqn,2,2,0.05707551718390426
wt_ihard,2,2,0.029529477779871464
wt_isoft,2,2,0.0292453238136113
wt_usoft,2,2,0.8323863991636699
wqn,2,3,0.059749135280679176
wt_ihard,2,3,0.029779771320257754
wt_isoft,2,3,0.02947402426215835
wt_usoft,2,3,0.8804504943897435
wqn,2,4,0.06320548263873596
wt_ihard,2,4,0.02991579034900895
wt_isoft,2,4,0.029660010222732344
wt_usoft,2,4,0.9025612270304324
wqn,2,5,0.06621332104057237
wt_ihard,2,5,0.04509595235778692
wt_isoft,2,5,0.03066972783657721
wt_usoft,2,5,0.921732281512927
wqn,2,6,0.06650845329063246
wt_ihard,2,6,0.04557474087552781
wt_isoft,2,6,0.030844027927783665
wt_usoft,2,6,0.9315462494470962
wqn,2,7,0.06660042208606634
wt_ihard,2,7,0.04605080385473441
wt_isoft,2,7,0.031011444473434
wt_usoft,2,7,0.9389875864558048
wqn,2,8,0.06681114933218174
wt_ihard,2,8,0.04652891082690161
wt_isoft,2,8,0.031201565082030515
wt_usoft,2,8,0.9419045497584567
wqn,2,9,0.06691406445695483
wt_ihard,2,9,0.047071690562541395
wt_isoft,2,9,0.03142710280579477
wt_usoft,2,9,0.9437013319717925
wqn,2,10,0.08589118708588929
wt_ihard,2,10,0.04764381940064176
wt_isoft,2,10,0.03168083925663587
wt_usoft,2,10,0.9457310056321547
wqn,2,11,0.08597283483741575
wt_ihard,2,11,0.05046260515014079
wt_isoft,2,11,0.032277296628843766
wt_usoft,2,11,0.9479073326342644
wqn,2,12,0.08611040832460459
wt_ihard,2,12,0.051004570208036434
wt_isoft,2,12,0.03251600556266393
wt_usoft,2,12,0.9501365661646651
wqn,2,13,0.08617383428294147
wt_ihard,2,13,0.05158428095203746
wt_isoft,2,13,0.03277734475403375
wt_usoft,2,13,0.9525075662690087
wqn,2,14,0.08622975878919821
wt_ihard,2,14,0.05219075172334384
wt_isoft,2,14,0.033068751312786304
wt_usoft,2,14,0.9544701621591823
wqn,2,15,0.08780904667242148
wt_ihard,2,15,0.053928578218546686
wt_isoft,2,15,0.03360739570200255
wt_usoft,2,15,0.9559726439956396
wqn,2,16,0.08789557288494888
wt_ihard,2,16,0.05442216495659749
wt_isoft,2,16,0.033900359144151404
wt_usoft,2,16,0.9575724049182632
wqn,2,17,0.08794768882359386
wt_ihard,2,17,0.054928815678314674
wt_isoft,2,17,0.03421185651105879
wt_usoft,2,17,0.9592745577595492
wqn,2,18,0.0880299603113821
wt_ihard,2,18,0.0554555850257376
wt_isoft,2,18,0.03453976651752279
wt_usoft,2,18,0.9610706274223051
wqn,2,19,0.08810634933012276
wt_ihard,2,19,0.056006463235822965
wt_isoft,2,19,0.03488817576299575
wt_usoft,2,19,0.9629788551030691
wqn,2,20,0.08808273305207792
wt_ihard,2,20,0.056576912396167106
wt_isoft,2,20,0.0352580452545144
wt_usoft,2,20,0.9649834492807647
wqn,3,0,2.669671333756503e-23
wt_ihard,3,0,2.669671333756503e-23
wt_isoft,3,0,2.669671333756503e-23
wt_usoft,3,0,2.669671333756503e-23
wqn,3,1,0.054519723688626925
wt_ihard,3,1,0.023325434454714102
wt_isoft,3,1,0.026661341733534145
wt_usoft,3,1,0.825488331597309
wqn,3,2,0.08055400505364885
wt_ihard,3,2,0.023494588917060653
wt_isoft,3,2,0.026162061942923684
wt_usoft,3,2,1.338982160752341
wqn,3,3,0.08417973113557894
wt_ihard,3,3,0.02350161440065293
wt_isoft,3,3,0.026267751341833158
wt_usoft,3,3,1.428294227949492
wqn,3,4,0.08111990457271287
wt_ihard,3,4,0.023588338247167155
wt_isoft,3,4,0.026457369227635225
wt_usoft,3,4,1.495146713293205
wqn,3,5,0.10180371612930987
wt_ihard,3,5,0.023661785009759646
wt_isoft,3,5,0.026582479148051445
wt_usoft,3,5,1.5234498398773388
wqn,3,6,0.10800561915514303
wt_ihard,3,6,0.023763301518117123
wt_isoft,3,6,0.026710599937094195
wt_usoft,3,6,1.5479082982231707
wqn,3,7,0.1076486491942657
wt_ihard,3,7,0.023889266631089826
wt_isoft,3,7,0.026863441580858113
wt_usoft,3,7,1.5741440206305852
wqn,3,8,0.10775276611541706
wt_ihard,3,8,0.02403933740526016
wt_isoft,3,8,0.027044740630319482
wt_usoft,3,8,1.5997471637793708
wqn,3,9,0.10788636261404069
wt_ihard,3,9,0.02421580882371945
wt_isoft,3,9,0.02724922536956711
wt_usoft,3,9,1.6042533665037777
wqn,3,10,0.11029417715434528
wt_ihard,3,10,0.024409740435686403
wt_isoft,3,10,0.027477113467837638
wt_usoft,3,10,1.6065337030050928
wqn,3,11,0.1105196925571089
wt_ihard,3,11,0.0246323931048491
wt_isoft,3,11,0.02772606306929999
wt_usoft,3,11,1.608291995123615
wqn,3,12,0.11063312225421844
wt_ihard,3,12,0.024880827792848302
wt_isoft,3,12,0.027999967605813463
wt_usoft,3,12,1.61018922539522
wqn,3,13,0.11074827149785896
wt_ihard,3,13,0.02515269593898785
wt_isoft,3,13,0.028298504144569817
wt_usoft,3,13,1.6125406653032506
wqn,3,14,0.11091087383626518
wt_ihard,3,14,0.025448876578644815
wt_isoft,3,14,0.028620977012424154
wt_usoft,3,14,1.6149113627839085
wqn,3,15,0.11130298931909056
wt_ihard,3,15,0.02576956654179982
wt_isoft,3,15,0.028968227926760654
wt_usoft,3,15,1.616767295110594
wqn,3,16,0.11145095971254845
wt_ihard,3,16,0.026114765828452922
wt_isoft,3,16,0.029339717824212068
wt_usoft,3,16,1.6183788567679982
wqn,3,17,0.11193886200834155
wt_ihard,3,17,0.02648447443860412
wt_isoft,3,17,0.029735717045161612
wt_usoft,3,17,1.6199130727578184
wqn,3,18,0.11201227786485836
wt_ihard,3,18,0.026878692372253318
wt_isoft,3,18,0.03015622558960913
wt_usoft,3,18,1.6214867611748476
wqn,3,19,0.11358957252864622
wt_ihard,3,19,0.027297419629400636
wt_isoft,3,19,0.030601243457554755
wt_usoft,3,19,1.6231274095546564
wqn,3,20,0.11336994623904262
wt_ihard,3,20,0.027740656210046087
wt_isoft,3,20,0.03107162352406556
wt_usoft,3,20,1.6248392732509407
wqn,4,0,3.682141027725103e-22
wt_ihard,4,0,3.682141027725103e-22
wt_isoft,4,0,3.682141027725103e-22
wt_usoft,4,0,3.682141027725103e-22
wqn,4,1,0.14069196216621468
wt_ihard,4,1,0.15996405017348012
wt_isoft,4,1,0.15133835090600262
wt_usoft,4,1,0.8111717049082736
wqn,4,2,0.18767026328465383
wt_ihard,4,2,0.16033910807647037
wt_isoft,4,2,0.15349592232659398
wt_usoft,4,2,1.5789468330217513
wqn,4,3,0.2263394647698736
wt_ihard,4,3,0.16073979093986965
wt_isoft,4,3,0.1544578832440433
wt_usoft,4,3,1.889111874291761
wqn,4,4,0.24154663662235398
wt_ihard,4,4,0.16110566321914083
wt_isoft,4,4,0.1558139533805907
wt_usoft,4,4,1.9307966724040262
wqn,4,5,0.2994612371165015
wt_ihard,4,5,0.16131971829493613
wt_isoft,4,5,0.15626317317402716
wt_usoft,4,5,1.9546535893064725
wqn,4,6,0.2999326724476512
wt_ihard,4,6,0.161764525141268
wt_isoft,4,6,0.15676706420847808
wt_usoft,4,6,1.973344201597673
wqn,4,7,0.29797500577141295
wt_ihard,4,7,0.16203998016871468
wt_isoft,4,7,0.1572983302890312
wt_usoft,4,7,1.9861225764159705
wqn,4,8,0.30830702371897306
wt_ihard,4,8,0.16259236431077476
wt_isoft,4,8,0.15790691493583991
wt_usoft,4,8,1.9986177453238059
wqn,4,9,0.323926280338973
wt_ihard,4,9,0.16313632762351205
wt_isoft,4,9,0.15855111758865317
wt_usoft,4,9,2.011491277562125
wqn,4,10,0.32413534800152344
wt_ihard,4,10,0.16349773638601883
wt_isoft,4,10,0.1591504560303247
wt_usoft,4,10,2.0248221713918797
wqn,4,11,0.3246316950427202
wt_ihard,4,11,0.1640602481425098
wt_isoft,4,11,0.1597348685339028
wt_usoft,4,11,2.039170162525151
wqn,4,12,0.3250158434786633
wt_ihard,4,12,0.16466971032309344
wt_isoft,4,12,0.16036991572509351
wt_usoft,4,12,2.045664208354238
wqn,4,13,0.3252700358886964
wt_ihard,4,13,0.16533735839339067
wt_isoft,4,13,0.16105265643472683
wt_usoft,4,13,2.0486922011738953
wqn,4,14,0.3260340144208696
wt_ihard,4,14,0.1660425505969364
wt_isoft,4,14,0.1617836615140964
wt_usoft,4,14,2.051398755464957
wqn,4,15,0.3273342463356655
wt_ihard,4,15,0.3621614538957499
wt_isoft,4,15,0.2307449226427512
wt_usoft,4,15,2.053615608989902
wqn,4,16,0.32828195124735826
wt_ihard,4,16,0.36296534686112736
wt_isoft,4,16,0.23182349110310407
