,artifact,denoiser,realization,scale,mse,wasserstein,num_w_scales,hurst
35,sawtooth,wt_zero,2,2,0.13139314313390654,"[0.42784314343176716, 4.3440162942285765, 2.414969312140627, 1.3024354252622825, 0.6610996732239018, 0.2663029027341971, 0.1451517447265534, 0.0686416200228119, 0.03571628395954654, 0.021979244304648593]",9,1.7017269660346552
36,square,wqn,3,2,0.10722809296282834,"[0.08143725603249141, 0.02116624122196105, 0.7965920844346452, 0.12290676242908796, 0.11715471182032469, 0.045355317454593064, 0.018148834616586788, 0.00766950177935764, 0.001305336537217498, 0.0003721536952408224]",9,0.36634037419445664
37,square,wt_ihard,3,2,0.10311445383604118,"[1.1497428999815942, 2.0316136506246143, 2.8457413422379982, 1.119974037250137, 0.8887277848645371, 0.3798258925968585, 0.1859019098520671, 0.06877395792481096, 0.028665579115541493, 0.00812884989846955]",9,0.08282276021784174
38,square,wt_isoft,3,2,0.06012670399458557,"[1.1497428999815942, 1.214038885686112, 2.204401454084925, 1.119974037250137, 0.7894758223231606, 0.25291133191706283, 0.10280895749218583, 0.03237567717139577, 0.010343913513904578, 0.0027883441055533975]",9,0.11652832586330508
39,square,wt_uni,3,2,0.9912532110428021,"[1.1497428999815942, 1.2223058721208369, 8.433780785368478, 4.1361463120662965, 2.299635503998072, 0.6927128117297492, 0.20839860721920755, 0.06311317346557445, 0.016823649061456183, 0.004084620429041683]",9,0.5406165305261428
40,square,wt_sure,3,2,0.06970575357388496,"[1.1497428999815942, 1.2223058721208369, 2.870494772839405, 1.119974037250137, 0.8889801811444528, 0.30815547591556486, 0.09927184772718406, 0.028610439147585973, 0.010011495662779445, 0.00351353865305351]",9,-0.025690066946386703
41,square,wt_zero,3,2,0.11369913724941816,"[1.1497428999815942, 3.1935918724834007, 2.870494772839405, 1.119974037250137, 0.8889801811444528, 0.39209180416207423, 0.21164309286198263, 0.09672391084574264, 0.05278972600598816, 0.03117038618368482]",9,1.6960914985091082
42,sawtooth,wqn,3,2,0.16422251611142952,"[0.8551764827689015, 0.8691602345325308, 1.8429425277897056, 0.23195313961891356, 0.25216280893145915, 0.07208067672487684, 0.025432825364265804, 0.007378428040829098, 0.0031844204117107574, 0.0008882383939260412]",9,0.42799879237935046
43,sawtooth,wt_ihard,3,2,0.1027769386350631,"[0.8738273876425646, 1.534558729816447, 2.870494772839405, 1.1043121679874375, 0.8784482389999073, 0.3483626479284915, 0.1624395894615434, 0.052344051110549225, 0.02163819148462132, 0.008535069724549075]",9,0.08727519257384553
44,sawtooth,wt_isoft,3,2,0.05879579695281778,"[0.8738273876425646, 0.8691602608049073, 2.870494772839405, 0.6909309500667862, 0.6487522429095895, 0.20010203170496899, 0.07350440134319144, 0.021720298264084593, 0.007432740348191666, 0.0024616621106917395]",9,0.22577208072575705
45,sawtooth,wt_uni,3,2,1.0362733249091103,"[0.8738273876425646, 0.8969571344171995, 8.830088371961473, 3.8652932234905255, 1.6407287589687183, 0.4713059778968664, 0.12905173836269684, 0.03749450792772644, 0.01005851221317144, 0.002324341063909744]",9,0.614547110958205
46,sawtooth,wt_sure,3,2,0.06378717189910821,"[0.8738273876425646, 0.8969571344171995, 2.870494772839405, 1.119974037250137, 0.6303862212271611, 0.17728777100269466, 0.05012169690582152, 0.020738841705470933, 0.006302668766184244, 0.002895259378939053]",9,0.2164746532341686
47,sawtooth,wt_zero,3,2,0.11343788317998221,"[0.8738273876425646, 3.1935918724834007, 2.870494772839405, 1.119974037250137, 0.8889801811444528, 0.39209180416207423, 0.21164309286198263, 0.09672391084574264, 0.05278972600598816, 0.03117038618368482]",9,1.6960420029917294
48,square,wqn,4,2,0.19321547745700088,"[0.8587074275499291, 0.4579789942928314, 0.631781030112541, 0.3669921997162732, 0.1641000840861343, 0.051334800435687736, 0.016488023990231658, 0.0032402723181712413, 0.0018324525710293406, 0.0017834158522882482]",9,0.6275059958561793
49,square,wt_ihard,4,2,0.04137346870363842,"[1.1359938810441448, 1.2981395189066314, 3.731621891004007, 1.2209369057043433, 0.6418817110508367, 0.27319984687921384, 0.11143801269092823, 0.042082881034147916, 0.015305529606058695, 0.004127806475106724]",9,0.18031127027546345
50,square,wt_isoft,4,2,0.03808792004495612,"[1.1359938810441448, 1.2981395189066314, 3.3227632970042533, 1.2175968808661652, 0.5680436093300516, 0.18078129932115114, 0.06593261101790857, 0.02045606017636321, 0.006460041099920413, 0.0023556670831898392]",9,0.23810881790235428
51,square,wt_uni,4,2,2.4285653960928504,"[1.1359938810441448, 1.2981395189066314, 14.537479032113511, 6.784759049423155, 2.5376425366384034, 0.9275444082053577, 0.28321236678849404, 0.07601201351945165, 0.013271653274998664, 0.005561355910390042]",9,0.5849166493566009
52,square,wt_sure,4,2,0.04189213046082903,"[1.1359938810441448, 1.2981395189066314, 3.8706440086348266, 1.2209369057043433, 0.6418817110508367, 0.1764661197381113, 0.07088551814455583, 0.021216908165891363, 0.005578224300269807, 0.0024190004893880875]",9,0.21005498229063135
53,square,wt_zero,4,2,0.05071815803755794,"[1.1359938810441448, 5.757451688406743, 3.8706440086348266, 1.2209369057043433, 0.6418817110508367, 0.2767318019125132, 0.136795387264429, 0.0659011962141493, 0.02815441241253462, 0.018164879456986385]",9,1.6923765219385145
54,sawtooth,wqn,4,2,0.23669794377414655,"[0.2930599435007547, 0.9169398352749801, 1.423765377499695, 0.43549005342039815, 0.23121655803576585, 0.08228824235965357, 0.033395699658873484, 0.014117435843448274, 0.002708766926485768, 0.0006344249519820732]",9,0.43313028037224954
55,sawtooth,wt_ihard,4,2,0.041563334996037454,"[1.2296063388915175, 3.5571021322429965, 3.8706440086348266, 1.1820104731779224, 0.617620203673014, 0.21719088152004146, 0.08225741462288147, 0.029008881909766526, 0.010720417952633992, 0.0019901939903653005]",9,0.2597022151493731
56,sawtooth,wt_isoft,4,2,0.045407673179039224,"[1.2296063388915175, 0.9681759744591459, 3.8706440086348266, 0.8783107734522844, 0.441510227729134, 0.14569747748508605, 0.05372344741777435, 0.015737370156813, 0.004444184349158051, 0.00182740500586966]",9,0.40329261200404576
57,sawtooth,wt_uni,4,2,2.0232067816613832,"[1.2296063388915175, 1.4809858890555847, 10.292800390669807, 5.19944050772698, 1.8178500256358123, 0.6094997403749509, 0.16908354936498082, 0.04720267088426827, 0.0078748068425838, 0.0035845790659835963]",9,0.7123979995867327
58,sawtooth,wt_sure,4,2,0.04166688090413218,"[1.2296063388915175, 1.4809858890555847, 3.8706440086348266, 1.2209369057043433, 0.43334256945330535, 0.15930213618561018, 0.06016726739969108, 0.01600372114964282, 0.004267300435758358, 0.0018969818649492928]",9,0.3869587585279092
59,sawtooth,wt_zero,4,2,0.05228330148883534,"[1.2296063388915175, 5.757451688406743, 3.8706440086348266, 1.2209369057043433, 0.6418817110508367, 0.2767318019125132, 0.136795387264429, 0.0659011962141493, 0.02815441241253462, 0.018164879456986385]",9,1.6887023444897027
60,square,wqn,5,2,0.10235470103963584,"[1.098258444033975, 0.4631849905415909, 0.5255815859858141, 0.24999139931303854, 0.06833509149863122, 0.011367718828674739, 0.007445860982378788, 0.0014971998440833645, 0.0005905427017475009, 0.00016060251640623129]",9,0.42199626900268905
61,square,wt_ihard,5,2,0.15166766046420532,"[1.1126137476909388, 1.7887225918437748, 2.103341452136643, 1.259500265635775, 0.458836808955654, 0.20579815306349192, 0.10833082002925606, 0.05156242296423258, 0.01728420167150816, 0.007060582942523512]",9,0.28527014713808785
62,square,wt_isoft,5,2,0.07002693324646408,"[1.1126137476909388, 1.0596686469472711, 1.729770926690592, 1.259500265635775, 0.458836808955654, 0.147384921996189, 0.06317224960958431, 0.023571249029533593, 0.006562971241580348, 0.0020709054638796886]",9,0.1912484205253253
63,square,wt_uni,5,2,0.8262927941061087,"[1.1126137476909388, 1.0619582819137219, 7.784993199407049, 4.910659409608468, 1.4425096400196935, 0.5081973545094697, 0.14396209085191275, 0.04226970462863909, 0.011024978129182832, 0.0023556782494739874]",9,0.5801148125384421
64,square,wt_sure,5,2,0.071052977841255,"[1.1126137476909388, 1.0619582819137219, 2.103341452136643, 1.259500265635775, 0.3832086651684672, 0.13653235063947847, 0.0709694142714314, 0.02024903329453283, 0.006314340399829228, 0.0015013591413380093]",9,0.17942200790446905
65,square,wt_zero,5,2,0.2584281585014062,"[1.1126137476909388, 6.231516639578275, 2.103341452136643, 1.259500265635775, 0.458836808955654, 0.20970313906372906, 0.11658899071368035, 0.06550482689120696, 0.031459455010636864, 0.018618301044925664]",9,1.702521620010451
66,sawtooth,wqn,5,2,0.0652178743181874,"[0.12021756626054891, 0.1398649576924402, 0.5071924506270664, 0.4237156658746728, 0.09004471350122435, 0.024699860779985497, 0.01100336089688944, 0.004534872483209773, 0.0016442934413366168, 0.00026523562416256257]",9,0.4951676822080685
67,sawtooth,wt_ihard,5,2,0.15187573129631965,"[0.2909541895725085, 1.73925857015572, 2.103341452136643, 1.2538910722679766, 0.4535284488929324, 0.18500911282285232, 0.08113918473304833, 0.0358844834796556, 0.01302876388023043, 0.004909251799995105]",9,0.2617003435421503
